subject_question_group_id,subject_id,question_group_id,created_at,updated_at,active_flag
1,1,1,2013-10-11 12:00:00 UTC,2013-11-07 06:21:04 UTC,0
2,1,2,2013-10-11 12:00:00 UTC,2013-11-07 02:56:30 UTC,0
3,3,3,2013-10-11 12:00:00 UTC,2013-11-07 02:56:30 UTC,0
4,2,4,2013-10-14 12:00:00 UTC,2013-11-07 02:56:30 UTC,0
5,2,5,2013-10-14 12:00:00 UTC,2013-11-07 02:56:30 UTC,0
6,2,6,2013-10-14 12:00:00 UTC,2013-11-07 02:56:30 UTC,0
7,2,7,2013-10-14 12:00:00 UTC,2013-11-07 02:56:30 UTC,0
8,4,1,2013-11-07 02:56:30 UTC,2013-11-07 06:21:04 UTC,0
9,3,3,2013-11-07 06:21:04 UTC,2013-11-07 06:21:04 UTC,1
